Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Gemycircularvirus,Gemycircularvirus solas1,plant associated genomovirus 11,AH_131,MH939384,Complete genome,
Gemycircularvirus,Gemycircularvirus soybe1,soybean associated gemycircularvirus 1,SlaGemV1-1,KT598248,Complete genome,SoGCV1
Gemycircularvirus,Gemycircularvirus termi1,termite associated circular virus 2,I1514,MG917675,Complete genome,
Gemycircularvirus,Gemycircularvirus trilo1,plant associated genomovirus 22,QS46_F25,MH939442,Complete genome,
Gemycircularvirus,Gemycircularvirus turti1,Genomoviridae sp. ctcg63,,MK012473,Complete genome,
Gemycircularvirus,Gemycircularvirus willde1,plant associated genomovirus 13,QS2_F23,MH939427,Complete genome,
Gemyduguivirus,Gemyduguivirus arteca1,Artemisia carvifolia genomoviridae,pt159-gen-10,MN823676,Complete genome,
Gemyduguivirus,Gemyduguivirus austo1,blackfly genomovirus 8,SF02_579,MK433240,Complete genome,
Gemyduguivirus,Gemyduguivirus bemta1,Bemisia-associated genomovirus AdDF,,KY230613,Complete genome,
Gemyduguivirus,Gemyduguivirus draga1,dragonfly associated gemyduguivirus 1,TO-DFS3B2-2010,JX185428,Complete genome,DGDV1
Gemyduguivirus,Gemyduguivirus hydro1,capybara genomovirus 3,cap1_53,MK483075,Complete genome,
Gemyduguivirus,Gemyduguivirus hydro2,capybara genomovirus 8,cap1_358,MK483080,Complete genome,
Gemyduguivirus,Gemyduguivirus hydro3,capybara genomovirus 5,cap1_2730,MK483077,Complete genome,
Gemyduguivirus,Gemyduguivirus macra1,plant associated genomovirus 4,929_OP4_567,MH939370,Complete genome,
Gemyduguivirus,Gemyduguivirus merre1,plant associated genomovirus 5,GnPB1669_106,MH939417,Complete genome,
Gemyduguivirus,Gemyduguivirus minti1,Genomoviridae sp. ctcd252,,MK032731,Complete genome,
Gemyduguivirus,Gemyduguivirus minti2,Genomoviridae sp. ctdb242,,MK032726,Complete genome,
Gemyduguivirus,Gemyduguivirus recro1,Gemycircularvirus sp. yc-19,,KY312558,Complete genome,
Gemygorvirus,Gemygorvirus cania1,canine associated gemygorvirus 1,53_Fec7_dog,KT862254,Complete genome,CGGV1
Gemygorvirus,Gemygorvirus hydro1,capybara genomovirus 6,cap1_100,MK483078,Complete genome,
Gemygorvirus,Gemygorvirus malas1,mallard associated gemygorvirus 1,4_Fec7_duck,KT862238,Complete genome,MGGV1
Gemygorvirus,Gemygorvirus opunt1,plant associated genomovirus 26,EU1_SP968,MK947373,Complete genome,
Gemygorvirus,Gemygorvirus poaspe1,plant associated genomovirus 1,206_BA536,MH939361,Complete genome,
Gemygorvirus,Gemygorvirus ptero1,pteropus associated gemygorvirus 1,Tbat_A_103952,KT732790,Complete genome,PtGGV1
Gemygorvirus,Gemygorvirus sewopo1,sewage derived gemygorvirus 1,BS3963,KJ547635,Complete genome,SeGGV1
