Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Magoulivirus,Magoulivirus psiplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 29,DMG-E_28155,MN532614,Coding-complete genome,PavOLV29
Magoulivirus,Magoulivirus rhizoctoniae,Rhizoctonia solani ourmia-like virus 1,RsAG2,KP900921,Partial genome (non-compliant),RsOLV1
Magoulivirus,Magoulivirus rhoplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 21,DMG-A_33790,MN532608,Coding-complete genome,PavOLV21
Magoulivirus,Magoulivirus sigmaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 22,DMS3_17792,MN532609,Coding-complete genome,PavOLV22
Magoulivirus,Magoulivirus tauplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 23,DMG-B_4839,MN532610,Coding-complete genome,PavOLV23
Magoulivirus,Magoulivirus thetaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 12,DMG-D_33124,MN532599,Coding-complete genome,PavOLV12
Magoulivirus,Magoulivirus viticolae,Plasmopara viticola lesion associated ourmia-like virus 36,DMG-B_Contig4,MN532623,Coding-complete genome,PavOLV36
Magoulivirus,Magoulivirus xiplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 18,DMG-C_2817,MN532605,Coding-complete genome,PavOLV18
Magoulivirus,Magoulivirus zetaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 10,DMS1_25369,MN532597,Coding-complete genome,PavOLV10
Ourmiavirus,Ourmiavirus cucurbitae,Ourmia melon virus,VE9,RNA1: EU770623;,Complete genome,OuMV
,,,,RNA2: EU770624;,,
,,,,RNA3: EU770625,,
Ourmiavirus,Ourmiavirus manihoti,cassava virus C,IC,RNA1: FJ157981;,Complete genome,CsVC
,,,,RNA2: FJ157982;,,
,,,,RNA3: FJ157983,,
Ourmiavirus,Ourmiavirus pruni,Epirus cherry virus,VE450,RNA1: EU770620;,Complete genome,EpCV
,,,,RNA2: EU770621;,,
,,,,RNA3: EU770622,,
Penoulivirus,Penoulivirus alphabotrytidis,Botrytis cinerea ourmia-like virus 1,BCS12_DN83,MN605467,Coding-complete genome,BcOLV1
Penoulivirus,Penoulivirus alphaerysiphe,Erysiphe necator associated ourmia-like virus 21,RDPM33,OL890646,Coding-complete genome,EnaOLV21
Penoulivirus,Penoulivirus alphaoryzae,Magnaporthe oryzae botourmiavirus 5,,MN648455,Coding-complete genome,MBOV5
Penoulivirus,Penoulivirus alphaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 82,DMS4_33408,MN532669,Coding-complete genome,PvaOLV82
Penoulivirus,Penoulivirus aspergilli,Aspergillus neoniger ourmia-like virus 1,AnOlv1CBS 115656,MK279481,Coding-complete genome,AnOlV1
Penoulivirus,Penoulivirus betabotrytidis,Botrytis cinerea ourmia-like virus 2,BCS12_DN83,MN605468,Coding-complete genome,BcOLV2
Penoulivirus,Penoulivirus betaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 83,DMS6_43509,MN532670,Coding-complete genome,PvaOLV83
Penoulivirus,Penoulivirus cladosporii,Cladosporium uredinicola ourmia-like virus 2,CREA-VE-14AS3,MK584841,Coding-complete genome,CuOLV2
Penoulivirus,Penoulivirus deltaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 85,DMG-C_28820,MN532672,Coding-complete genome,PvaOLV85
Penoulivirus,Penoulivirus epicocci,Epicoccum nigrum ourmia-like virus 2,CREA-VE-1SY1,MK584844,Coding-complete genome,EnOLV2
Penoulivirus,Penoulivirus epsilonplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 87,DMS6_41719,MN532674,Coding-complete genome,PvaOLV87
Penoulivirus,Penoulivirus etaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 89,DMG-B_53516,MN532676,Coding-complete genome,PvaOLV89
Penoulivirus,Penoulivirus gammabotrytidis,Botrytis cinerea ourmia-like virus 3,BCS8_TRINITY_DN11,MN605469,Coding-complete genome,BcOLV3
Penoulivirus,Penoulivirus gammaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 84,DMG-B_49894,MN532671,Coding-complete genome,PvaOLV84
Penoulivirus,Penoulivirus iotaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 91,DMS2_12910,MN532678,Coding-complete genome,PvaOLV91
Penoulivirus,Penoulivirus macrophominae,Macrophomina phaseolina ourmia-like virus 3,,MT062431,Coding-complete genome,MpOVL3
Penoulivirus,Penoulivirus malus,apple ourmia-like virus 2,WA1,MN386962,Coding-complete genome,AOLV2
Penoulivirus,Penoulivirus neofusicocci,Neofusicoccum parvum ourmia-like virus 1,CREA-VE-26SY1,MK584837,Coding-complete genome,NpOLV1
Penoulivirus,Penoulivirus oryzae,Magnaporthe oryzae ourmia-like virus 4,HNDW6,MK507958,Complete genome,MOLV4
Penoulivirus,Penoulivirus penicillii,Penicillium sumatrense ourmia-like virus 1,CREA-VE-10AS2,MK584839,Coding-complete genome,PsOLV1
Penoulivirus,Penoulivirus phaeoacremonii,Phaeoacremonium minimum ourmia-like virus 1,CREA-VE-28SY2,MK584843,Coding-complete genome,PmOLV1
Penoulivirus,Penoulivirus phaeoacremonii,Plasmopara viticola lesion associated ourmia-like virus 86,DMS5_38116,MN532673,Coding-complete genome,PvaOLV86
Penoulivirus,Penoulivirus phomae,Phoma matteucciicola ourmia-like virus 1,LG915-1,MN473199,Coding-complete genome,PmOLV1
Penoulivirus,Penoulivirus phomopsis,Phomopsis longicolla RNA virus 1,KY,KR997836,Complete genome,PlRV1
Penoulivirus,Penoulivirus pyriculariae,Pyricularia oryzae ourmia-like virus 1,,LC413501,Complete genome,PoOLV1
Penoulivirus,Penoulivirus sclerotiniae,Sclerotinia sclerotiorum ourmia-like virus 4,2010,MN715322,Coding-complete genome,SsOLV4
Penoulivirus,Penoulivirus sclerotiniae,Botrytis cinerea ourmia-like virus 9,BCI10_DN8574,MN605475,Complete genome,BcOLV9
Penoulivirus,Penoulivirus thetaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 90,DMG-E_28272,MN532677,Coding-complete genome,PvaOLV90
Penoulivirus,Penoulivirus zetaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 88,DMS8_23510,MN532675,Coding-complete genome,PvaOLV88
Rhizoulivirus,Rhizoulivirus alphamellea,Armillaria mellea ourmia-like virus 1,CMW50256,MW423802,Coding-complete genome,AmOlV1
Rhizoulivirus,Rhizoulivirus alpharhizoctoniae,Rhizoctonia solani ourmia-like virus 2,,MK372906,Coding-complete genome,RsOLV2
Rhizoulivirus,Rhizoulivirus betarhizoctoniae,Rhizoctonia solani ourmia-like virus 3,,MK372907,Coding-complete genome,RsOLV3
Rhizoulivirus,Rhizoulivirus gammarhizoctoniae,Rhizoctonia solani ourmia-like virus 4,,MK372908,Coding-complete genome,RsOLV4
Rhizoulivirus,Rhizoulivirus rhizoctoniae,Rhizoctonia solani ourmia-like virus 1Rs,,KP900922,Partial genome (non-compliant),RsOLV1
Scleroulivirus,Scleroulivirus alphaglycinae,soybean leaf-associated ourmiavirus 1,1,KT598235,Partial genome (non-compliant),SlaOurV1
Scleroulivirus,Scleroulivirus alphaoryzae,Magnaporthe oryzae botourmiavirus 9,SH05,MT995746,Coding-complete genome,MoBV9
Scleroulivirus,Scleroulivirus alphapestalotiopsis,Pestalotiopsis botourmiavirus 2,,MW017456,Coding-complete genome,PBV2
Scleroulivirus,Scleroulivirus alphaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 44,DMG-A_35452,MN532631,Coding-complete genome,PavOLV44
Scleroulivirus,Scleroulivirus betaglycinae,soybean leaf-associated ourmiavirus 2,1,KT598247,Partial genome (non-compliant),SlaOurV2
Scleroulivirus,Scleroulivirus betaglycinae,Plasmopara viticola lesion associated ourmia-like virus 65,DMG-A_38322,MN532652,Coding-complete genome,PavOLV65
Scleroulivirus,Scleroulivirus betaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 46,DMG-B_37170,MN532633,Coding-complete genome,PavOLV46
